2026-01-02 13:05:41 | INFO | [LOGIN_SUCCESS] IP=127.0.0.1 USER=127.0.0.1:admin
2026-01-02 13:38:58 | INFO | [LOGIN_SUCCESS] IP=127.0.0.1 USER=127.0.0.1:admin
2026-01-02 13:51:07 | INFO | [LOGIN_SUCCESS] IP=127.0.0.1 USER=127.0.0.1:admin
2026-01-05 09:28:58 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:admin
2026-01-05 09:29:54 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:admin
2026-01-05 10:04:46 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:admin
2026-01-05 10:05:17 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:admin
2026-01-05 10:58:21 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:admin
2026-01-05 11:29:25 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:admin
2026-01-05 11:30:13 | INFO | [USER_CREATE] IP=10.0.2.64 USER=admin CREATED_USER=auditor IS_ADMIN=False
2026-01-05 11:30:25 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:auditor
2026-01-05 11:45:43 | INFO | [LOGOUT] IP=10.0.2.64 USER=auditor
2026-01-05 11:45:49 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:auditor
2026-01-05 11:46:03 | INFO | [USER_EDIT] IP=10.0.2.64 USER=admin EDITED_USER=auditor IS_ADMIN=False IS_ACTIVE=True
2026-01-05 11:58:22 | INFO | [LOGOUT] IP=10.0.2.64 USER=auditor
2026-01-05 11:58:34 | WARNING | [LOGIN_FAIL] IP=10.0.2.64 USER=anonymous IDENTIFIER=10.0.2.64:auditor ATTEMPTS=1 MAX_ATTEMPTS=5
2026-01-05 11:58:40 | WARNING | [LOGIN_FAIL] IP=10.0.2.64 USER=anonymous IDENTIFIER=10.0.2.64:auditor ATTEMPTS=2 MAX_ATTEMPTS=5
2026-01-05 11:58:47 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:auditor
2026-01-05 12:06:39 | INFO | [USER_EDIT] IP=10.0.2.64 USER=admin EDITED_USER=auditor IS_ADMIN=False IS_ACTIVE=True
2026-01-05 12:39:39 | WARNING | [LOGIN_FAIL] IP=10.0.2.64 USER=anonymous IDENTIFIER=10.0.2.64:auditor ATTEMPTS=1 MAX_ATTEMPTS=5
2026-01-05 12:39:45 | INFO | [LOGIN_SUCCESS] IP=10.0.2.64 USER=10.0.2.64:auditor
